레벨,경험치,표식,스탯1,스탯2
Lv.1,1000,0,부대파괴력 +2.10%,부대HP +2.10%
Lv.2,1100,0,부대파괴력 +2.20%,부대HP +2.20%
Lv.3,1160,0,부대파괴력 +2.30%,부대HP +2.30%
Lv.4,1210,0,부대파괴력 +2.40%,부대HP +2.40%
Lv.5,1270,0,부대파괴력 +2.50%,부대HP +2.50%
Lv.6,1320,0,부대파괴력 +2.60%,부대HP +2.60%
Lv.7,1430,0,부대파괴력 +2.70%,부대HP +2.70%
Lv.8,1540,0,부대파괴력 +2.80%,부대HP +2.80%
Lv.9,1650,0,부대파괴력 +2.90%,부대HP +2.90%
Lv.10,1760,20,부대파괴력 +3.80%,부대HP +3.80%
Lv.11,1870,0,부대파괴력 +3.90%,부대HP +3.90%
Lv.12,1980,0,부대파괴력 +4.00%,부대HP +4.00%
Lv.13,2090,0,부대파괴력 +4.10%,부대HP +4.10%
Lv.14,2200,0,부대파괴력 +4.20%,부대HP +4.20%
Lv.15,2310,0,부대파괴력 +4.30%,부대HP +4.30%
Lv.16,2420,0,부대파괴력 +4.40%,부대HP +4.40%
Lv.17,2530,0,부대파괴력 +4.50%,부대HP +4.50%
Lv.18,2640,0,부대파괴력 +4.60%,부대HP +4.60%
Lv.19,2750,0,부대파괴력 +4.70%,부대HP +4.70%
Lv.20,2860,40,부대파괴력 +5.60%,부대HP +5.60%
Lv.21,2970,0,부대파괴력 +5.70%,부대HP +5.70%
Lv.22,3080,0,부대파괴력 +5.80%,부대HP +5.80%
Lv.23,3190,0,부대파괴력 +5.90%,부대HP +5.90%
Lv.24,3300,0,부대파괴력 +6.00%,부대HP +6.00%
Lv.25,3410,0,부대파괴력 +6.10%,부대HP +6.10%
Lv.26,3520,0,부대파괴력 +6.20%,부대HP +6.20%
Lv.27,3630,0,부대파괴력 +6.30%,부대HP +6.30%
Lv.28,3740,0,부대파괴력 +6.40%,부대HP +6.40%
Lv.29,3850,0,부대파괴력 +6.50%,부대HP +6.50%
Lv.30,4020,80,부대파괴력 +7.40%,부대HP +7.40%
Lv.31,4180,0,부대파괴력 +7.50%,부대HP +7.50%
Lv.32,4350,0,부대파괴력 +7.60%,부대HP +7.60%
Lv.33,4510,0,부대파괴력 +7.70%,부대HP +7.70%
Lv.34,4680,0,부대파괴력 +7.80%,부대HP +7.80%
Lv.35,4840,0,부대파괴력 +7.90%,부대HP +7.90%
Lv.36,5010,0,부대파괴력 +8.00%,부대HP +8.00%
Lv.37,5170,0,부대파괴력 +8.10%,부대HP +8.10%
