레벨,불수정,정제,고기,나무,석탄,철광
30,0,0,0,0,0,0,
30-1,59,0,23,23,4.7,1.1,
30-2,59,0,23,23,4.7,1.1,
30-3,59,0,23,23,4.7,1.1,
30-4,59,0,23,23,4.7,1.1,
FC1,59,0,23,23,4.7,1.1,
FC1-1,71,0,25,25,5,1.2,
FC1-2,71,0,25,25,5,1.2,
FC1-3,71,0,25,25,5,1.2,
FC1-4,71,0,25,25,5,1.2,
FC2,71,0,25,25,5,1.2,
FC2-1,107,0,27,27,5.5,1.3,
FC2-2,107,0,27,27,5.5,1.3,
FC2-3,107,0,27,27,5.5,1.3,
FC2-4,107,0,27,27,5.5,1.3,
FC3,107,0,27,27,5.5,1.3,,
FC3-1,126,0,28,28,5.7,1.4,
FC3-2,126,0,28,28,5.7,1.4,
FC3-3,126,0,28,28,5.7,1.4,
FC3-4,126,0,28,28,5.7,1.4,
FC4,126,0,28,28,5.7,1.4,
FC4-1,150,0,29,29,5.9,1.4,
FC4-2,150,0,29,29,5.9,1.4,
FC4-3,150,0,29,29,5.9,1.4,
FC4-4,150,0,29,29,5.9,1.4,
FC5,150,0,29,29,5.9,1.4,
FC5-1,90,4,33,33,6.7,1.6,
FC5-2,90,4,33,33,6.7,1.6,
FC5-3,90,4,33,33,6.7,1.6,
FC5-4,90,4,33,33,6.7,1.6,
FC6,45,9,33,33,6.7,1.6,
FC6-1,108,6,38,38,7.6,1.9,
FC6-2,108,6,38,38,7.6,1.9,
FC6-3,108,6,38,38,7.6,1.9,
FC6-4,108,6,38,38,7.6,1.9,
FC7,54,13,38,38,7.6,1.9,
FC7-1,108,9,46,46,9.3,2.3,
FC7-2,108,9,46,46,9.3,2.3,
FC7-3,108,9,46,46,9.3,2.3,
FC7-4,108,9,46,46,9.3,2.3,
FC8,54,18,46,46,9.3,2.3,
FC8-1,126,13,50,50,10,2.5,
FC8-2,126,13,50,50,10,2.5,
FC8-3,126,13,50,50,10,2.5,
FC8-4,126,13,50,50,10,2.5,
FC9,63,27,50,50,10,2.5,
FC9-1,157,31,59,59,11,2.9,
FC9-2,157,31,59,59,11,2.9,
FC9-3,157,31,59,59,11,2.9,
FC9-4,157,31,59,59,11,2.9,
FC10,78,63,59,59,11,2.9,
