레벨,불수정,정제,고기,나무,석탄,철광
30,0,0,0,0,0,0
30-1,26,0,16,16,3.3,0.84
30-2,26,0,16,16,3.3,0.84
30-3,26,0,16,16,3.3,0.84
30-4,26,0,16,16,3.3,0.84
FC1,26,0,16,16,3.3,0.84
FC1-1,31,0,18,18,3.3,0.9
FC1-2,31,0,18,18,3.3,0.9
FC1-3,31,0,18,18,3.3,0.9
FC1-4,31,0,18,18,3.3,0.9
FC2,31,0,18,18,3.3,0.9
FC2-1,47,0,19,19,3.9,0.99
FC2-2,47,0,19,19,3.9,0.99
FC2-3,47,0,19,19,3.9,0.99
FC2-4,47,0,19,19,3.9,0.99
FC3,47,0,19,19,3.9,0.99
FC3-1,56,0,20,20,4.1,1
FC3-2,56,0,20,20,4.1,1
FC3-3,56,0,20,20,4.1,1
FC3-4,56,0,20,20,4.1,1
FC4,56,0,20,20,4.1,1
FC4-1,67,0,21,21,4.2,1
FC4-2,67,0,21,21,4.2,1
FC4-3,67,0,21,21,4.2,1
FC4-4,67,0,21,21,4.2,1
FC5,67,0,21,21,4.2,1
FC5-1,40,2,24,24,4.8,1.2
FC5-2,40,2,24,24,4.8,1.2
FC5-3,40,2,24,24,4.8,1.2
FC5-4,40,2,24,24,4.8,1.2
FC6,20,4,24,24,4.8,1.2
FC6-1,48,3,27,27,5.4,1.3
FC6-2,48,3,27,27,5.4,1.3
FC6-3,48,3,27,27,5.4,1.3
FC6-4,48,3,27,27,5.4,1.3
FC7,24,6,27,27,5.4,1.3
FC7-1,48,4,33,33,6.6,1.6
FC7-2,48,4,33,33,6.6,1.6
FC7-3,48,4,33,33,6.6,1.6
FC7-4,48,4,33,33,6.6,1.6
FC8,24,8,33,33,6.6,1.6
FC8-1,56,6,36,36,7.2,1.8
FC8-2,56,6,36,36,7.2,1.8
FC8-3,56,6,36,36,7.2,1.8
FC8-4,56,6,36,36,7.2,1.8
FC9,28,12,36,36,7.2,1.8
FC9-1,70,14,42,42,8.4,2.1
FC9-2,70,14,42,42,8.4,2.1
FC9-3,70,14,42,42,8.4,2.1
FC9-4,70,14,42,42,8.4,2.1
FC10,35,28,42,42,8.4,2.1
