레벨,불수정,정제,고기,나무,석탄,철광,변환시간
30,0,0,0,0,0,0,0
30-1,26,0,20,20,4,1,20:09:30
30-2,26,0,20,20,4,1,20:09:30
30-3,26,0,20,20,4,1,20:09:30
30-4,26,0,20,20,4,1,20:09:30
FC1,26,0,20,20,4,1,20:09:30
FC1-1,31,0,21,21,4.3,1,25:55:00
FC1-2,31,0,21,21,4.3,1,25:55:00
FC1-3,31,0,21,21,4.3,1,25:55:00
FC1-4,31,0,21,21,4.3,1,25:55:00
FC2,31,0,21,21,4.3,1,25:55:00
FC2-1,47,0,23,23,4.7,1.1,31:40:00
FC2-2,47,0,23,23,4.7,1.1,31:40:00
FC2-3,47,0,23,23,4.7,1.1,31:40:00
FC2-4,47,0,23,23,4.7,1.1,31:40:00
FC3,47,0,23,23,4.7,1.1,31:40:00
FC3-1,56,0,24,24,4.9,1.2,34:33:00
FC3-2,56,0,24,24,4.9,1.2,34:33:00
FC3-3,56,0,24,24,4.9,1.2,34:33:00
FC3-4,56,0,24,24,4.9,1.2,34:33:00
FC4,56,0,24,24,4.9,1.2,34:33:00
FC4-1,67,0,25,25,5,1.2,40:31:00
FC4-2,67,0,25,25,5,1.2,40:31:00
FC4-3,67,0,25,25,5,1.2,40:31:00
FC4-4,67,0,25,25,5,1.2,40:31:00
FC5,67,0,25,25,5,1.2,40:31:00
FC5-1,40,2,29,29,5.8,1.4,43:12:00
FC5-2,40,2,29,29,5.8,1.4,43:12:00
FC5-3,40,2,29,29,5.8,1.4,43:12:00
FC5-4,40,2,29,29,5.8,1.4,43:12:00
FC6,20,5,29,29,5.8,1.4,43:12:00
FC6-1,48,3,32,32,6.5,1.5,49:30:00
FC6-2,48,3,32,32,6.5,1.5,49:30:00
FC6-3,48,3,32,32,6.5,1.5,49:30:00
FC6-4,48,3,32,32,6.5,1.5,49:30:00
FC7,24,7,32,32,6.5,1.5,49:30:00
FC7-1,48,4,39,39,7.9,1.9,57:36:00
FC7-2,48,4,39,39,7.9,1.9,57:36:00
FC7-3,48,4,39,39,7.9,1.9,57:36:00
FC7-4,48,4,39,39,7.9,1.9,57:36:00
FC8,24,8,39,39,7.9,1.9,57:36:00
FC8-1,56,6,43,43,8.7,2.1,37:26:00
FC8-2,56,6,43,43,8.7,2.1,37:26:00
FC8-3,56,6,43,43,8.7,2.1,37:26:00
FC8-4,56,6,43,43,8.7,2.1,37:26:00
FC9,28,12,43,43,8.7,2.1,37:26:00
FC9-1,70,14,50,50,10,2.5,57:36:00
FC9-2,70,14,50,50,10,2.5,57:36:00
FC9-3,70,14,50,50,10,2.5,57:36:00
FC9-4,70,14,50,50,10,2.5,57:36:00
FC10,35,28,50,50,10,2.5,57:36:00
